"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"82",1996-09-20,"84","76","68","68","65","61","94","73","48","29.81","29.78","29.74","6","6","3","18","7","","0.00","3","Rain","58<br />","Tokyo (JPN)","Summer"
"83",1996-09-21,"75","73","71","64","63","61","78","73","65","29.86","29.82","29.80","6","6","6","18","11","","0.00","6","Rain","32<br />","Tokyo (JPN)","Summer"
"84",1996-09-22,"69","66","64","64","63","63","94","90","78","29.77","29.35","28.91","5","2","1","52","24","74","0.00","6","Rain","354<br />","Tokyo (JPN)","Autumn"
"85",1996-09-23,"82","72","62","64","61","59","88","66","51","29.98","29.79","29.53","6","6","6","12","5","","0.00","5","","52<br />","Tokyo (JPN)","Autumn"
"86",1996-09-24,"77","72","66","63","58","54","83","62","50","30.18","30.10","30.01","6","6","6","13","9","","0.00","3","","51<br />","Tokyo (JPN)","Autumn"
"87",1996-09-25,"71","68","64","61","58","54","88","71","57","30.15","30.11","30.04","6","4","3","12","5","","0.00","6","Rain","23<br />","Tokyo (JPN)","Autumn"
"88",1996-09-26,"69","68","66","64","62","59","94","82","68","30.04","29.99","29.95","5","2","1","9","3","","0.00","7","Rain","316<br />","Tokyo (JPN)","Autumn"
"89",1996-09-27,"75","70","64","63","60","46","94","77","49","30.12","30.03","29.98","6","4","1","17","8","","0.00","4","Rain-Thunderstorm","25<br />","Tokyo (JPN)","Autumn"
"90",1996-09-28,"71","66","60","52","50","45","68","56","43","30.24","30.17","30.12","6","6","6","14","10","","0.00","1","","70<br />","Tokyo (JPN)","Autumn"
"91",1996-09-29,"73","66","59","55","54","50","82","65","46","30.18","30.08","30.01","6","6","5","14","6","","0.00","2","","97<br />","Tokyo (JPN)","Autumn"
"92",1996-09-30,"66","62","59","59","57","55","94","83","68","29.98","29.91","29.80","6","3","2","17","9","","0.00","7","Rain","353<br />","Tokyo (JPN)","Autumn"
"93",1996-10-01,"66","63","60","61","59","57","94","87","78","29.83","29.79","29.77","6","3","2","17","14","","0.00","6","Rain","350<br />","Tokyo (JPN)","Autumn"
"94",1996-10-02,"75","68","62","61","58","55","88","71","53","29.95","29.87","29.80","6","6","6","21","14","","0.00","3","","22<br />","Tokyo (JPN)","Autumn"
"95",1996-10-03,"73","68","64","63","59","57","88","73","57","29.95","29.88","29.80","6","6","5","12","8","","0.00","5","Rain","69<br />","Tokyo (JPN)","Autumn"
"96",1996-10-04,"77","70","64","66","63","59","94","80","65","29.80","29.70","29.65","6","6","2","15","7","","0.00","5","Rain","152<br />","Tokyo (JPN)","Autumn"
"97",1996-10-05,"71","66","62","63","59","34","88","76","34","30.01","29.86","29.71","6","5","1","15","10","","0.00","4","Rain-Thunderstorm","21<br />","Tokyo (JPN)","Autumn"
"98",1996-10-06,"75","68","60","64","61","57","88","77","57","30.06","30.03","29.98","6","6","5","15","7","","0.00","4","","110<br />","Tokyo (JPN)","Autumn"
"99",1996-10-07,"80","73","66","64","62","57","88","64","48","29.98","29.85","29.74","6","6","6","29","14","36","0.00","3","","232<br />","Tokyo (JPN)","Autumn"
"100",1996-10-08,"71","65","59","63","58","57","94","90","69","30.04","29.95","29.89","6","3","2","17","13","","0.00","7","Rain","26<br />","Tokyo (JPN)","Autumn"
"101",1996-10-09,"66","62","59","59","57","55","94","83","68","30.04","29.94","29.89","6","5","2","10","7","","0.00","6","Rain","60<br />","Tokyo (JPN)","Autumn"
"102",1996-10-10,"68","65","62","59","55","52","83","71","56","30.21","30.12","30.04","6","5","2","10","7","","0.00","5","","39<br />","Tokyo (JPN)","Autumn"
"103",1996-10-11,"69","66","62","57","55","52","82","69","56","30.36","30.28","30.21","6","6","4","10","7","","0.00","6","Rain","40<br />","Tokyo (JPN)","Autumn"
"104",1996-10-12,"71","66","62","61","55","54","88","67","53","30.33","30.27","30.18","6","6","2","10","7","","0.00","5","Rain","36<br />","Tokyo (JPN)","Autumn"
"105",1996-10-13,"71","66","60","61","59","55","94","77","60","30.18","30.07","30.01","6","4","2","10","7","","0.00","4","Rain","63<br />","Tokyo (JPN)","Autumn"
"106",1996-10-14,"66","63","60","63","60","57","94","88","78","30.01","29.84","29.71","5","3","1","16","8","","0.00","6","Rain","8<br />","Tokyo (JPN)","Autumn"
"107",1996-10-15,"71","66","60","61","57","54","94","73","53","29.71","29.63","29.56","6","5","3","16","10","","0.00","4","Rain","343<br />","Tokyo (JPN)","Autumn"
"108",1996-10-16,"69","64","59","55","46","39","82","53","35","30.06","29.86","29.62","6","6","5","17","11","","0.00","2","","353<br />","Tokyo (JPN)","Autumn"
"109",1996-10-17,"69","63","57","54","44","36","77","51","37","30.18","30.12","30.06","6","6","6","14","9","","0.00","1","","52<br />","Tokyo (JPN)","Autumn"
"110",1996-10-18,"71","65","59","55","52","48","82","65","50","30.09","30.00","29.92","6","4","3","10","7","","0.00","3","","312<br />","Tokyo (JPN)","Autumn"
"111",1996-10-19,"71","64","57","61","56","52","88","74","57","29.92","29.88","29.83","6","3","2","20","7","","0.00","4","Rain","33<br />","Tokyo (JPN)","Autumn"
"112",1996-10-20,"68","62","57","57","48","36","88","60","42","30.24","30.06","29.92","6","6","5","20","10","30","0.00","5","Rain","19<br />","Tokyo (JPN)","Autumn"
"113",1996-10-21,"64","58","53","45","39","34","59","49","32","30.39","30.32","30.24","6","6","6","14","9","20","0.00","1","","57<br />","Tokyo (JPN)","Autumn"
"114",1996-10-22,"68","60","51","50","45","43","72","60","43","30.39","30.35","30.27","6","6","5","13","7","","0.00","1","","56<br />","Tokyo (JPN)","Autumn"
"115",1996-10-23,"68","60","53","52","50","46","82","66","52","30.45","30.40","30.36","6","5","3","16","9","","0.00","1","","10<br />","Tokyo (JPN)","Autumn"
"116",1996-10-24,"68","64","59","57","52","48","77","68","59","30.42","30.34","30.24","6","4","3","16","11","","0.00","3","Rain","334<br />","Tokyo (JPN)","Autumn"
"117",1996-10-25,"66","64","62","64","60","55","94","85","73","30.21","30.01","29.80","4","2","1","13","8","","0.00","5","Rain","2<br />","Tokyo (JPN)","Autumn"
"118",1996-10-26,"73","63","53","64","49","34","100","60","38","29.98","29.77","29.68","6","5","2","30","11","44","0.00","5","Rain","346<br />","Tokyo (JPN)","Autumn"
"119",1996-10-27,"60","55","50","45","37","30","67","50","41","30.36","30.23","29.98","6","6","6","29","16","41","0.00","2","","46<br />","Tokyo (JPN)","Autumn"
"120",1996-10-28,"59","55","51","52","46","39","88","67","58","30.42","30.30","30.15","6","4","2","15","10","","0.00","5","Rain","342<br />","Tokyo (JPN)","Autumn"
"121",1996-10-29,"69","62","55","59","55","52","88","74","60","30.12","30.08","30.04","6","6","2","13","9","","0.00","3","Rain","57<br />","Tokyo (JPN)","Autumn"
"122",1996-10-30,"75","66","57","61","57","54","94","75","47","30.15","30.07","30.01","6","4","1","20","7","","0.00","1","","217<br />","Tokyo (JPN)","Autumn"
"123",1996-10-31,"69","64","59","59","57","54","88","75","56","30.15","30.09","30.06","6","4","2","15","7","","0.00","5","Rain","12<br />","Tokyo (JPN)","Autumn"
"124",1996-11-01,"64","62","59","59","58","57","94","91","82","30.06","29.85","29.71","5","3","1","18","11","","0.00","6","Rain","355<br />","Tokyo (JPN)","Autumn"
"125",1996-11-02,"62","60","57","59","57","55","94","91","88","30.09","29.90","29.71","6","3","1","18","11","","0.00","6","Rain","7<br />","Tokyo (JPN)","Autumn"
"126",1996-11-03,"62","60","57","55","51","48","94","74","63","30.38","30.26","30.09","6","6","4","13","10","","0.00","6","Rain","23<br />","Tokyo (JPN)","Autumn"
"127",1996-11-04,"66","62","57","54","51","50","82","70","56","30.45","30.38","30.33","6","6","6","14","9","","0.00","4","","26<br />","Tokyo (JPN)","Autumn"
"128",1996-11-05,"62","60","57","57","53","50","88","77","72","30.30","30.11","29.92","6","3","1","13","6","","0.00","6","Rain","10<br />","Tokyo (JPN)","Autumn"
"129",1996-11-06,"73","64","55","64","51","36","100","68","37","30.04","29.84","29.71","6","4","1","31","12","47","0.00","4","Rain","327<br />","Tokyo (JPN)","Autumn"
"130",1996-11-07,"59","54","48","46","38","30","67","54","41","30.36","30.25","30.09","6","6","4","34","18","46","0.00","3","","34<br />","Tokyo (JPN)","Autumn"
"131",1996-11-08,"55","53","51","54","47","37","94","81","51","30.27","30.22","30.15","6","3","1","16","10","","0.00","6","Rain","335<br />","Tokyo (JPN)","Autumn"
"132",1996-11-09,"64","58","53","61","56","52","100","90","82","30.15","29.96","29.86","4","3","2","15","9","","0.00","6","Rain","321<br />","Tokyo (JPN)","Autumn"
"133",1996-11-10,"71","64","57","61","58","54","94","81","64","30.15","30.01","29.86","6","3","1","14","6","","0.00","5","","25<br />","Tokyo (JPN)","Autumn"
"134",1996-11-11,"66","62","59","57","55","54","94","79","68","30.18","30.07","29.89","6","4","2","10","7","","0.00","6","Rain","349<br />","Tokyo (JPN)","Autumn"
"135",1996-11-12,"62","60","53","57","55","39","94","84","48","29.86","29.68","29.59","6","3","2","17","8","","0.00","6","Rain","7<br />","Tokyo (JPN)","Autumn"
"136",1996-11-13,"55","50","46","48","37","27","93","63","36","29.98","29.74","29.65","6","6","6","33","19","46","0.00","4","Rain","18<br />","Tokyo (JPN)","Autumn"
"137",1996-11-14,"55","50","46","43","32","23","76","50","40","30.24","30.15","30.04","6","6","4","20","12","","0.00","4","","360<br />","Tokyo (JPN)","Autumn"
"138",1996-11-15,"60","51","42","48","39","32","81","60","41","30.04","29.97","29.92","6","5","2","17","6","","0.00","2","","350<br />","Tokyo (JPN)","Autumn"
"139",1996-11-16,"57","52","46","34","29","25","50","41","29","30.27","30.14","30.01","6","6","6","24","15","36","0.00","1","","340<br />","Tokyo (JPN)","Autumn"
"140",1996-11-17,"64","53","42","48","37","28","63","51","37","30.24","30.07","29.86","6","6","6","30","9","43","0.00","2","","245<br />","Tokyo (JPN)","Autumn"
"141",1996-11-18,"64","57","50","55","46","37","77","65","51","29.92","29.83","29.77","6","5","2","25","11","","0.00","6","Rain","26<br />","Tokyo (JPN)","Autumn"
"142",1996-11-19,"64","56","48","39","34","28","62","44","32","30.30","30.09","29.95","6","6","6","24","11","33","0.00","3","","349<br />","Tokyo (JPN)","Autumn"
"143",1996-11-20,"50","48","46","46","37","30","93","68","47","30.42","30.27","30.04","6","5","2","20","12","","0.00","6","Rain","341<br />","Tokyo (JPN)","Autumn"
"144",1996-11-21,"68","57","46","52","46","39","100","68","40","30.06","29.92","29.83","6","5","2","22","8","37","0.00","2","","250<br />","Tokyo (JPN)","Autumn"
"145",1996-11-22,"60","55","50","48","40","37","88","56","42","30.06","29.99","29.92","6","5","2","15","6","","0.00","1","","10<br />","Tokyo (JPN)","Autumn"
"146",1996-11-23,"59","54","50","46","38","34","67","56","41","30.15","30.11","30.06","6","6","4","12","10","","0.00","5","","8<br />","Tokyo (JPN)","Autumn"
"147",1996-11-24,"59","55","51","45","42","37","67","60","54","30.21","30.16","30.12","6","6","4","15","10","","0.00","5","","356<br />","Tokyo (JPN)","Autumn"
"148",1996-11-25,"68","60","51","45","39","32","71","50","32","31.28","30.17","30.09","6","6","4","22","11","","0.00","2","","340<br />","Tokyo (JPN)","Autumn"
"149",1996-11-26,"57","52","48","43","37","32","67","55","44","30.33","30.27","30.21","6","6","6","14","9","","0.00","3","","38<br />","Tokyo (JPN)","Autumn"
"150",1996-11-27,"55","52","50","52","45","39","94","80","58","30.21","29.97","29.77","6","3","1","10","7","","0.00","7","Fog-Rain","346<br />","Tokyo (JPN)","Autumn"
"151",1996-11-28,"60","54","48","48","39","28","94","57","38","29.95","29.83","29.74","6","6","2","15","9","","0.00","4","","335<br />","Tokyo (JPN)","Autumn"
"152",1996-11-29,"55","52","50","43","32","27","63","46","36","29.95","29.83","29.68","6","6","4","17","12","","0.00","4","Rain","3<br />","Tokyo (JPN)","Autumn"
"153",1996-11-30,"53","48","42","39","31","25","62","49","38","29.74","29.69","29.62","6","6","5","16","10","","0.00","4","Rain","358<br />","Tokyo (JPN)","Autumn"
"154",1996-12-01,"55","47","39","34","25","16","76","47","21","29.83","29.62","29.50","6","6","5","23","9","36","0.00","2","","309<br />","Tokyo (JPN)","Autumn"
"155",1996-12-02,"51","43","35","30","22","16","50","41","32","30.21","30.01","29.83","6","6","6","29","15","40","0.00","1","","316<br />","Tokyo (JPN)","Autumn"
"156",1996-12-03,"51","43","35","30","26","23","65","48","35","30.33","30.29","30.21","6","6","4","14","8","","0.00","1","","31<br />","Tokyo (JPN)","Autumn"
"157",1996-12-04,"53","46","39","41","32","27","71","55","38","30.36","30.24","30.06","6","5","3","13","8","","0.00","2","","339<br />","Tokyo (JPN)","Autumn"
"158",1996-12-05,"64","54","44","63","54","34","94","83","58","30.06","29.58","29.36","6","4","2","51","19","68","0.00","6","Rain","195<br />","Tokyo (JPN)","Autumn"
"159",1996-12-06,"64","55","44","54","32","21","72","47","32","29.89","29.62","29.33","6","6","6","24","16","33","0.00","4","","347<br />","Tokyo (JPN)","Autumn"
"160",1996-12-07,"51","45","39","32","27","21","57","46","30","29.92","29.86","29.77","6","6","4","12","7","","0.00","3","","344<br />","Tokyo (JPN)","Autumn"
"161",1996-12-08,"53","46","39","34","26","21","61","46","28","30.12","30.03","29.89","6","6","4","16","10","","0.00","1","","12<br />","Tokyo (JPN)","Autumn"
"162",1996-12-09,"53","45","37","37","31","27","66","55","43","30.18","30.14","30.12","6","5","3","10","7","","0.00","1","","257<br />","Tokyo (JPN)","Autumn"
"163",1996-12-10,"57","48","39","45","36","32","76","62","44","30.15","30.06","29.95","6","4","2","9","6","","0.00","3","Rain","251<br />","Tokyo (JPN)","Autumn"
